,DESCRIPTION,UNITE,MIN,MAX,DATATYPE,DATASCIENTISM,PRECISION,FREQUENCE_ECHANTILLONNAGE,VAL_DEF,device
C0000000f-B004-kVA sys-JTVA,local W (Local à papier derrière Sylfen) + local Antoine - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kWh-JTWH,local W (Local à papier derrière Sylfen) + local Antoine - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kWh (-)-JTWH,local W (Local à papier derrière Sylfen) + local Antoine - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kWh L1-JTWH,local W (Local à papier derrière Sylfen) + local Antoine - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kWh L2-JTWH,local W (Local à papier derrière Sylfen) + local Antoine - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kWh L3-JTWH,local W (Local à papier derrière Sylfen) + local Antoine - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000f-B004-kvarh-JTVarH,local W (Local à papier derrière Sylfen) + local Antoine - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kW L1-JTW,Bombardier Alstom - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kW L2-JTW,Bombardier Alstom - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kW L3-JTW,Bombardier Alstom - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kW sys-JTW,Bombardier Alstom - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kvar L1-JTVar,Bombardier Alstom - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kvar L2-JTVar,Bombardier Alstom - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kvar L3-JTVar,Bombardier Alstom - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kvar sys-JTVar,Bombardier Alstom - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kVA L1-JTVA,Bombardier Alstom - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kVA L2-JTVA,Bombardier Alstom - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kVA L3-JTVA,Bombardier Alstom - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kVA sys-JTVA,Bombardier Alstom - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kWh-JTWH,Bombardier Alstom - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kWh (-)-JTWH,Bombardier Alstom - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000010-F004-kvarh-JTVarH,Bombardier Alstom - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kW L1-JTW,Serma - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kW L2-JTW,Serma - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kW L3-JTW,Serma - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kW sys-JTW,Serma - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kW dmd-JTW,Serma - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kvar L1-JTVar,Serma - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kvar L2-JTVar,Serma - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kvar L3-JTVar,Serma - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kvar sys-JTVar,Serma - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kVA L1-JTVA,Serma - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kVA L2-JTVA,Serma - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kVA L3-JTVA,Serma - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kVA sys-JTVA,Serma - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kWh-JTWH,Serma - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kWh (-)-JTWH,Serma - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kWh L1-JTWH,Serma - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kWh L2-JTWH,Serma - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kWh L3-JTWH,Serma - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000011-A006-kvarh-JTVarH,Serma - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kW L1-JTW,Zone E  - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kW L2-JTW,Zone E  - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kW L3-JTW,Zone E  - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kW sys-JTW,Zone E  - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kvar L1-JTVar,Zone E  - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kvar L2-JTVar,Zone E  - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kvar L3-JTVar,Zone E  - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kvar sys-JTVar,Zone E  - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kVA L1-JTVA,Zone E  - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kVA L2-JTVA,Zone E  - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kVA L3-JTVA,Zone E  - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kVA sys-JTVA,Zone E  - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kWh-JTWH,Zone E  - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kWh (-)-JTWH,Zone E  - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000012-E001-kvarh-JTVarH,Zone E  - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kW L1-JTW,Geodis - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kW L2-JTW,Geodis - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kW L3-JTW,Geodis - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kW sys-JTW,Geodis - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kW dmd-JTW,Geodis - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kvar L1-JTVar,Geodis - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kvar L2-JTVar,Geodis - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kvar L3-JTVar,Geodis - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kvar sys-JTVar,Geodis - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kVA L1-JTVA,Geodis - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kVA L2-JTVA,Geodis - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kVA L3-JTVA,Geodis - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kVA sys-JTVA,Geodis - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kWh-JTWH,Geodis - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kWh (-)-JTWH,Geodis - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kWh L1-JTWH,Geodis - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kWh L2-JTWH,Geodis - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kWh L3-JTWH,Geodis - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000013-E002-kvarh-JTVarH,Geodis - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kW L1-JTW,Zone F - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kW L2-JTW,Zone F - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kW L3-JTW,Zone F - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kW sys-JTW,Zone F - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kvar L1-JTVar,Zone F - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kvar L2-JTVar,Zone F - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kvar L3-JTVar,Zone F - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kvar sys-JTVar,Zone F - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kVA L1-JTVA,Zone F - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kVA L2-JTVA,Zone F - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kVA L3-JTVA,Zone F - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kVA sys-JTVA,Zone F - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kWh-JTWH,Zone F - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kWh (-)-JTWH,Zone F - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000014-F001-kvarh-JTVarH,Zone F - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kW L1-JTW,Cegelec Vinci - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kW L2-JTW,Cegelec Vinci - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kW L3-JTW,Cegelec Vinci - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kW sys-JTW,Cegelec Vinci - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kW dmd-JTW,Cegelec Vinci - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kvar L1-JTVar,Cegelec Vinci - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kvar L2-JTVar,Cegelec Vinci - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kvar L3-JTVar,Cegelec Vinci - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kvar sys-JTVar,Cegelec Vinci - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kVA L1-JTVA,Cegelec Vinci - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kVA L2-JTVA,Cegelec Vinci - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kVA L3-JTVA,Cegelec Vinci - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kVA sys-JTVA,Cegelec Vinci - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kWh-JTWH,Cegelec Vinci - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kWh (-)-JTWH,Cegelec Vinci - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kWh L1-JTWH,Cegelec Vinci - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kWh L2-JTWH,Cegelec Vinci - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kWh L3-JTWH,Cegelec Vinci - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000015-F002-kvarh-JTVarH,Cegelec Vinci - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kW L1-JTW,zone A-B-C-D - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kW L2-JTW,zone A-B-C-D - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kW L3-JTW,zone A-B-C-D - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kW sys-JTW,zone A-B-C-D - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kvar L1-JTVar,zone A-B-C-D - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kvar L2-JTVar,zone A-B-C-D - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kvar L3-JTVar,zone A-B-C-D - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kvar sys-JTVar,zone A-B-C-D - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kVA L1-JTVA,zone A-B-C-D - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kVA L2-JTVA,zone A-B-C-D - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kVA L3-JTVA,zone A-B-C-D - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kVA sys-JTVA,zone A-B-C-D - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kWh-JTWH,zone A-B-C-D - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kWh (-)-JTWH,zone A-B-C-D - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000016-A007-kvarh-JTVarH,zone A-B-C-D - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
PV00000001-centrale SLS 80kWc-kW-JTW,centrale PV sls 80 kWc - puissance PV,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,smartlogger
PV00000001-centrale SLS 80kWc-kWh-JTWH,centrale PV sls 80 kWc - compteur PV,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,smartlogger
XM_le_cheylas_temp,temp le_cheylas,°C,-50.0,50.0,REAL,True,0.01,30,0,meteo
XM_le_cheylas_pressure,pressure le_cheylas,mbar,-250.0,250.0,REAL,True,0.01,30,0,meteo
XM_le_cheylas_humidity,humidity le_cheylas,%,0.0,100.0,REAL,True,0.01,30,0,meteo
XM_le_cheylas_clouds,clouds le_cheylas,%,0.0,100.0,REAL,True,0.01,30,0,meteo
XM_le_cheylas_wind_speed,wind_speed le_cheylas,km/h,0.0,250.0,REAL,True,0.01,30,0,meteo
