,"MIN","MAX","UNITE","DESCRIPTION","DATATYPE","DATASCIENTISM","PRECISION","FREQUENCE_ECHANTILLONNAGE","VAL_DEF","DEVICE"
"SIS-02-TT-01-XM00",-50,80,"°C","Température ambiante","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-PT-01-XM00",800,1200,"mbara","Pression atmosphérique","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-HU-01-XM00",0,100,"%","Humité ambiante","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-DP-01-XM00",-50,80,"°C","Point de rosée","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-CL-01-XM00",0,100,"%","Couverture nuageuse","REAL","TRUE",0.01,5,0,"meteo"
"PV00000001-centrale SLS 80kWc-JTWH-00",-200000,200000,"kWh","centrale PV sls 80 kWc compteur PV","REAL","TRUE",0.01,5,0,"smartlogger"
"PV00000001-centrale SLS 80kWc-JTW-00",-200000,200000,"kW","centrale PV sls 80 kWc puissance PV","REAL","TRUE",0.01,5,0,"smartlogger"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh-JTWH",-200000,200000,"kWh","zone A-B-C-D energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L3-JTWH",-200000,200000,"kWh","zone A-B-C-D L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L2-JTWH",-200000,200000,"kWh","zone A-B-C-D L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L1-JTWH",-200000,200000,"kWh","zone A-B-C-D L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh (-)-JTWH",-200000,200000,"kWh","zone A-B-C-D quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW sys-JTW",-200000,200000,"kW","zone A-B-C-D puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L3-JTW",-200000,200000,"kW","zone A-B-C-D L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L2-JTW",-200000,200000,"kW","zone A-B-C-D L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L1-JTW",-200000,200000,"kW","zone A-B-C-D L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW dmd-JTW",-200000,200000,"kW","zone A-B-C-D puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvarh-JTVarH",-200000,200000,"kvarh","zone A-B-C-D quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar sys-JTVar",-200000,200000,"kvar","zone A-B-C-D puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L3-JTVar",-200000,200000,"kvar","zone A-B-C-D L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L2-JTVar",-200000,200000,"kvar","zone A-B-C-D L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L1-JTVar",-200000,200000,"kvar","zone A-B-C-D L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA sys-JTVA",-200000,200000,"kVA","zone A-B-C-D puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L3-JTVA",-200000,200000,"kVA","zone A-B-C-D L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L2-JTVA",-200000,200000,"kVA","zone A-B-C-D L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L1-JTVA",-200000,200000,"kVA","zone A-B-C-D L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh-JTWH",-200000,200000,"kWh","Cegelec Vinci energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L3-JTWH",-200000,200000,"kWh","Cegelec Vinci L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L2-JTWH",-200000,200000,"kWh","Cegelec Vinci L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L1-JTWH",-200000,200000,"kWh","Cegelec Vinci L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh (-)-JTWH",-200000,200000,"kWh","Cegelec Vinci quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kW sys-JTW",-200000,200000,"kW","Cegelec Vinci puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kW L3-JTW",-200000,200000,"kW","Cegelec Vinci L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kW L2-JTW",-200000,200000,"kW","Cegelec Vinci L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kW L1-JTW",-200000,200000,"kW","Cegelec Vinci L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kW dmd-JTW",-200000,200000,"kW","Cegelec Vinci puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kvarh-JTVarH",-200000,200000,"kvarh","Cegelec Vinci quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kvar sys-JTVar",-200000,200000,"kvar","Cegelec Vinci puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kvar L3-JTVar",-200000,200000,"kvar","Cegelec Vinci L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kvar L2-JTVar",-200000,200000,"kvar","Cegelec Vinci L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kvar L1-JTVar",-200000,200000,"kvar","Cegelec Vinci L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kVA sys-JTVA",-200000,200000,"kVA","Cegelec Vinci puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kVA L3-JTVA",-200000,200000,"kVA","Cegelec Vinci L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kVA L2-JTVA",-200000,200000,"kVA","Cegelec Vinci L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kVA L1-JTVA",-200000,200000,"kVA","Cegelec Vinci L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kWh-JTWH",-200000,200000,"kWh","Zone F energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kWh L3-JTWH",-200000,200000,"kWh","Zone F L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kWh L2-JTWH",-200000,200000,"kWh","Zone F L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kWh L1-JTWH",-200000,200000,"kWh","Zone F L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kWh (-)-JTWH",-200000,200000,"kWh","Zone F quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kW sys-JTW",-200000,200000,"kW","Zone F puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kW L3-JTW",-200000,200000,"kW","Zone F L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kW L2-JTW",-200000,200000,"kW","Zone F L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kW L1-JTW",-200000,200000,"kW","Zone F L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kW dmd-JTW",-200000,200000,"kW","Zone F puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kvarh-JTVarH",-200000,200000,"kvarh","Zone F quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kvar sys-JTVar",-200000,200000,"kvar","Zone F puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kvar L3-JTVar",-200000,200000,"kvar","Zone F L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kvar L2-JTVar",-200000,200000,"kvar","Zone F L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kvar L1-JTVar",-200000,200000,"kvar","Zone F L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kVA sys-JTVA",-200000,200000,"kVA","Zone F puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kVA L3-JTVA",-200000,200000,"kVA","Zone F L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kVA L2-JTVA",-200000,200000,"kVA","Zone F L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000014-F001-21-kVA L1-JTVA",-200000,200000,"kVA","Zone F L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kWh-JTWH",-200000,200000,"kWh","Geodis energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kWh L3-JTWH",-200000,200000,"kWh","Geodis L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kWh L2-JTWH",-200000,200000,"kWh","Geodis L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kWh L1-JTWH",-200000,200000,"kWh","Geodis L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kWh (-)-JTWH",-200000,200000,"kWh","Geodis quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kW sys-JTW",-200000,200000,"kW","Geodis puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kW L3-JTW",-200000,200000,"kW","Geodis L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kW L2-JTW",-200000,200000,"kW","Geodis L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kW L1-JTW",-200000,200000,"kW","Geodis L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kW dmd-JTW",-200000,200000,"kW","Geodis puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kvarh-JTVarH",-200000,200000,"kvarh","Geodis quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kvar sys-JTVar",-200000,200000,"kvar","Geodis puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kvar L3-JTVar",-200000,200000,"kvar","Geodis L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kvar L2-JTVar",-200000,200000,"kvar","Geodis L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kvar L1-JTVar",-200000,200000,"kvar","Geodis L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kVA sys-JTVA",-200000,200000,"kVA","Geodis puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kVA L3-JTVA",-200000,200000,"kVA","Geodis L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kVA L2-JTVA",-200000,200000,"kVA","Geodis L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000013-E002-20-kVA L1-JTVA",-200000,200000,"kVA","Geodis L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kWh-JTWH",-200000,200000,"kWh","Zone E  energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kWh L3-JTWH",-200000,200000,"kWh","Zone E  L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kWh L2-JTWH",-200000,200000,"kWh","Zone E  L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kWh L1-JTWH",-200000,200000,"kWh","Zone E  L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kWh (-)-JTWH",-200000,200000,"kWh","Zone E  quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kW sys-JTW",-200000,200000,"kW","Zone E  puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kW L3-JTW",-200000,200000,"kW","Zone E  L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kW L2-JTW",-200000,200000,"kW","Zone E  L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kW L1-JTW",-200000,200000,"kW","Zone E  L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kW dmd-JTW",-200000,200000,"kW","Zone E  puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kvarh-JTVarH",-200000,200000,"kvarh","Zone E  quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kvar sys-JTVar",-200000,200000,"kvar","Zone E  puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kvar L3-JTVar",-200000,200000,"kvar","Zone E  L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kvar L2-JTVar",-200000,200000,"kvar","Zone E  L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kvar L1-JTVar",-200000,200000,"kvar","Zone E  L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kVA sys-JTVA",-200000,200000,"kVA","Zone E  puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kVA L3-JTVA",-200000,200000,"kVA","Zone E  L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kVA L2-JTVA",-200000,200000,"kVA","Zone E  L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000012-E001-19-kVA L1-JTVA",-200000,200000,"kVA","Zone E  L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kWh-JTWH",-200000,200000,"kWh","Serma energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kWh L3-JTWH",-200000,200000,"kWh","Serma L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kWh L2-JTWH",-200000,200000,"kWh","Serma L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kWh L1-JTWH",-200000,200000,"kWh","Serma L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kWh (-)-JTWH",-200000,200000,"kWh","Serma quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kW sys-JTW",-200000,200000,"kW","Serma puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kW L3-JTW",-200000,200000,"kW","Serma L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kW L2-JTW",-200000,200000,"kW","Serma L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kW L1-JTW",-200000,200000,"kW","Serma L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kW dmd-JTW",-200000,200000,"kW","Serma puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kvarh-JTVarH",-200000,200000,"kvarh","Serma quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kvar sys-JTVar",-200000,200000,"kvar","Serma puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kvar L3-JTVar",-200000,200000,"kvar","Serma L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kvar L2-JTVar",-200000,200000,"kvar","Serma L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kvar L1-JTVar",-200000,200000,"kvar","Serma L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kVA sys-JTVA",-200000,200000,"kVA","Serma puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kVA L3-JTVA",-200000,200000,"kVA","Serma L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kVA L2-JTVA",-200000,200000,"kVA","Serma L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000011-A006-18-kVA L1-JTVA",-200000,200000,"kVA","Serma L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kWh-JTWH",-200000,200000,"kWh","Total puissance energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kWh L3-JTWH",-200000,200000,"kWh","Total puissance L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kWh L2-JTWH",-200000,200000,"kWh","Total puissance L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kWh L1-JTWH",-200000,200000,"kWh","Total puissance L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kWh (-)-JTWH",-200000,200000,"kWh","Total puissance quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kW sys-JTW",-200000,200000,"kW","Total puissance puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kW L3-JTW",-200000,200000,"kW","Total puissance L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kW L2-JTW",-200000,200000,"kW","Total puissance L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kW L1-JTW",-200000,200000,"kW","Total puissance L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kW dmd-JTW",-200000,200000,"kW","Total puissance puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kvarh-JTVarH",-200000,200000,"kvarh","Total puissance quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kvar sys-JTVar",-200000,200000,"kvar","Total puissance puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kvar L3-JTVar",-200000,200000,"kvar","Total puissance L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kvar L2-JTVar",-200000,200000,"kvar","Total puissance L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kvar L1-JTVar",-200000,200000,"kvar","Total puissance L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kVA sys-JTVA",-200000,200000,"kVA","Total puissance puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kVA L3-JTVA",-200000,200000,"kVA","Total puissance L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kVA L2-JTVA",-200000,200000,"kVA","Total puissance L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000010-EM_VIRTUAL-16-kVA L1-JTVA",-200000,200000,"kVA","Total puissance L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kWh-JTWH",-200000,200000,"kWh","local W (Local à papier derrière Sylfen) + local Antoine energie","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kWh L3-JTWH",-200000,200000,"kWh","local W (Local à papier derrière Sylfen) + local Antoine L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kWh L2-JTWH",-200000,200000,"kWh","local W (Local à papier derrière Sylfen) + local Antoine L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kWh L1-JTWH",-200000,200000,"kWh","local W (Local à papier derrière Sylfen) + local Antoine L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kWh (-)-JTWH",-200000,200000,"kWh","local W (Local à papier derrière Sylfen) + local Antoine quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kW sys-JTW",-200000,200000,"kW","local W (Local à papier derrière Sylfen) + local Antoine puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C0000000f-B004-15-kW L3-JTW",-200000,200000,"kW","local W (Local à papier derrière Sylfen) + local Antoine L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
