OrderNo,GroupNo
D0001,1
D0002,1
D0003,1
D0004,1
D0005,1
D0006,1
D0007,1
D0008,1
D0009,1
D0010,1
D0011,2
D0012,2
D0013,1
D0014,2
D0015,1
D0016,1
D0017,2
D0018,2
D0019,2
D0020,2
D0021,2
D0022,2
D0023,3
D0024,2
D0025,3
D0026,1
D0027,3
D0028,2
D0029,3
D0030,4
D0031,4
D0032,2
D0033,2
D0034,4
D0035,4
D0036,2
D0037,4
D0038,5
D0039,5
D0040,5
D0041,5
D0042,3
D0043,2
D0044,2
D0045,2
D0046,5
D0047,5
D0048,5
D0049,6
D0050,6
D0051,5
D0052,6
D0053,6
D0054,6
D0055,6
D0056,6
D0057,7
D0058,7
D0059,6
D0060,7
D0061,6
D0062,7
D0063,7
D0064,8
D0065,7
D0066,8
D0067,8
D0068,8
D0069,8
D0070,2
D0071,8
D0072,8
D0073,8
D0074,8
D0075,9
D0076,9
D0077,8
D0078,6
D0079,9
D0080,9
D0081,9
D0082,9
D0083,9
D0084,10
D0085,10
D0086,10
D0087,10
D0088,10
D0089,10
D0090,11
D0091,1
D0092,1
D0093,11
D0094,11
D0095,11
D0096,2
D0097,11
D0098,11
D0099,11
D0100,6
D0101,11
D0102,12
D0103,12
D0104,12
D0105,2
D0106,10
D0107,12
D0108,12
D0109,12
D0110,1
D0111,12
D0112,2
D0113,12
D0114,11
D0115,13
D0116,12
D0117,13
D0118,6
D0119,10
D0120,13
D0121,9
D0122,10
D0123,13
D0124,13
D0125,12
D0126,1
D0127,10
D0128,14
D0129,13
D0130,14
D0131,14
D0132,14
D0133,14
D0134,15
D0135,13
D0136,12
D0137,15
D0138,15
D0139,15
D0140,12
D0141,15
D0142,15
D0143,15
D0144,15
D0145,15
D0146,2
D0147,15
D0148,16
D0149,16
D0150,17
D0151,17
D0152,7
D0153,17
D0154,17
D0155,17
D0156,17
D0157,17
D0158,17
D0159,17
D0160,18
D0161,17
D0162,1
D0163,18
D0164,18
D0165,18
D0166,15
D0167,15
D0168,5
D0169,1
D0170,9
D0171,18
D0172,12
D0173,19
D0174,19
D0175,19
D0176,19
D0177,20
D0178,20
D0179,20
D0180,19
D0181,19
D0182,20
D0183,21
D0184,20
D0185,18
D0186,21
D0187,21
D0188,4
D0189,21
D0190,22
D0191,22
D0192,22
D0193,19
D0194,23
D0195,18
D0196,22
D0197,21
D0198,22
D0199,14
D0200,23
D0201,10
D0202,23
D0203,23
D0204,24
D0205,1
D0206,17
D0207,23
D0208,24
D0209,22
D0210,15
D0211,24
D0212,1
D0213,23
D0214,24
D0215,3
D0216,18
D0217,25
D0218,25
D0219,25
D0220,21
D0221,7
D0222,25
D0223,25
D0224,25
D0225,26
D0226,26
D0227,19
D0228,26
D0229,26
D0230,26
D0231,27
D0232,27
D0233,27
D0234,24
D0235,21
D0236,27
D0237,5
D0238,26
D0239,27
D0240,27
D0241,28
D0242,27
D0243,1
D0244,28
D0245,1
D0246,28
D0247,28
D0248,26
D0249,28
D0250,17
D0251,28
D0252,29
D0253,14
D0254,11
D0255,29
D0256,29
D0257,29
D0258,29
D0259,29
D0260,1
D0261,30
D0262,30
D0263,29
D0264,28
D0265,29
D0266,22
D0267,29
D0268,30
D0269,30
D0270,31
D0271,29
D0272,31
D0273,20
D0274,30
D0275,31
D0276,31
D0277,31
D0278,31
D0279,28
D0280,31
D0281,32
D0282,32
D0283,32
D0284,31
D0285,32
D0286,32
D0287,30
D0288,33
D0289,33
D0290,33
D0291,33
D0292,33
D0293,16
D0294,33
D0295,20
D0296,33
D0297,33
D0298,33
D0299,34
D0300,33
D0301,34
D0302,34
D0303,34
D0304,34
D0305,34
D0306,34
D0307,34
D0308,34
D0309,35
D0310,35
D0311,34
D0312,14
D0313,35
D0314,35
D0315,35
D0316,35
D0317,35
D0318,22
D0319,35
D0320,35
D0321,36
D0322,36
D0323,36
D0324,36
D0325,36
D0326,36
D0327,31
D0328,29
D0329,36
D0330,36
D0331,36
D0332,35
D0333,37
D0334,36
D0335,37
D0336,37
D0337,37
D0338,37
D0339,37
D0340,37
D0341,37
D0342,38
D0343,38
D0344,38
D0345,30
D0346,38
D0347,37
D0348,38
D0349,37
D0350,38
D0351,38
D0352,38
D0353,38
D0354,38
D0355,39
D0356,39
D0357,39
D0358,39
D0359,39
D0360,39
D0361,39
D0362,39
D0363,39
D0364,39
D0365,39
D0366,39
D0367,40
D0368,40
D0369,40
D0370,40
D0371,40
D0372,40
D0373,40
D0374,40
D0375,40
D0376,40
D0377,41
D0378,41
D0379,39
D0380,41
D0381,41
D0382,41
D0383,41
D0384,40
D0385,41
D0386,41
D0387,41
D0388,42
D0389,42
D0390,42
D0391,42
D0392,41
D0393,38
D0394,42
D0395,42
D0396,42
D0397,42
D0398,42
D0399,42
D0400,42
D0401,43
D0402,43
D0403,43
D0404,43
D0405,43
D0406,43
D0407,43
D0408,43
D0409,43
D0410,43
D0411,44
D0412,44
D0413,44
D0414,30
D0415,44
D0416,44
D0417,44
D0418,44
D0419,44
D0420,41
D0421,44
D0422,43
D0423,44
D0424,45
D0425,44
D0426,45
D0427,45
D0428,45
D0429,42
D0430,45
D0431,45
D0432,45
D0433,45
D0434,45
D0435,45
D0436,46
D0437,46
D0438,46
D0439,46
D0440,46
D0441,46
D0442,16
D0443,46
D0444,46
D0445,47
D0446,40
D0447,46
D0448,47
D0449,47
D0450,47
D0451,47
D0452,47
D0453,47
D0454,47
D0455,47
D0456,47
D0457,48
D0458,48
D0459,48
D0460,47
D0461,48
D0462,48
D0463,48
D0464,48
D0465,47
D0466,49
D0467,49
D0468,49
D0469,49
D0470,49
D0471,49
D0472,49
D0473,45
D0474,49
D0475,49
D0476,49
D0477,50
D0478,50
D0479,49
D0480,50
D0481,50
D0482,50
D0483,50
D0484,50
D0485,50
D0486,50
D0487,51
D0488,50
D0489,51
D0490,51
D0491,51
D0492,51
D0493,51
D0494,51
D0495,51
D0496,51
D0497,51
D0498,52
D0499,52
D0500,52
D0501,52
D0502,52
D0503,52
D0504,52
D0505,52
D0506,52
D0507,52
D0508,53
D0509,52
D0510,53
D0511,53
D0512,53
D0513,53
D0514,28
D0515,53
D0516,52
D0517,53
D0518,53
D0519,54
D0520,54
D0521,54
D0522,54
D0523,54
D0524,54
D0525,54
D0526,54
D0527,54
D0528,53
D0529,54
D0530,26
D0531,55
D0532,55
D0533,55
D0534,55
D0535,55
D0536,54
D0537,55
D0538,55
D0539,55
D0540,55
D0541,56
D0542,55
D0543,56
D0544,56
D0545,56
D0546,56
D0547,25
D0548,56
D0549,56
D0550,3
D0551,56
D0552,56
D0553,56
D0554,57
D0555,57
D0556,57
D0557,57
D0558,57
D0559,57
D0560,57
D0561,32
D0562,57
D0563,57
D0564,57
D0565,58
D0566,58
D0567,57
D0568,58
D0569,58
D0570,58
D0571,58
D0572,58
D0573,58
D0574,24
D0575,58
D0576,59
D0577,59
D0578,58
D0579,59
D0580,59
D0581,59
D0582,59
D0583,54
D0584,59
D0585,59
D0586,60
D0587,59
D0588,60
D0589,60
D0590,60
D0591,60
D0592,60
D0593,60
D0594,60
D0595,16
D0596,60
D0597,60
D0598,61
D0599,60
D0600,8
D0601,61
D0602,61
D0603,61
D0604,61
D0605,61
D0606,61
D0607,61
D0608,61
D0609,61
D0610,62
D0611,62
D0612,62
D0613,62
D0614,16
D0615,62
D0616,62
D0617,62
D0618,62
D0619,48
D0620,62
D0621,62
D0622,63
D0623,63
D0624,62
D0625,63
D0626,63
D0627,63
D0628,12
D0629,63
D0630,63
D0631,56
D0632,63
D0633,63
D0634,63
D0635,64
D0636,64
D0637,64
D0638,64
D0639,63
D0640,57
D0641,64
D0642,64
D0643,64
D0644,64
D0645,64
D0646,64
D0647,64
D0648,64
D0649,65
D0650,47
D0651,44
D0652,65
D0653,65
D0654,65
D0655,65
D0656,65
D0657,65
D0658,36
D0659,65
D0660,65
D0661,65
D0662,66
D0663,66
D0664,65
D0665,66
D0666,66
D0667,66
D0668,66
D0669,66
D0670,66
D0671,67
D0672,66
D0673,67
D0674,67
D0675,67
D0676,67
D0677,67
D0678,67
D0679,67
D0680,68
D0681,68
D0682,68
D0683,68
D0684,68
D0685,68
D0686,68
D0687,68
D0688,69
D0689,68
D0690,69
D0691,69
D0692,69
D0693,69
D0694,69
D0695,69
D0696,69
D0697,69
D0698,70
D0699,70
D0700,70
D0701,70
D0702,69
D0703,70
D0704,70
D0705,70
D0706,70
D0707,70
D0708,71
D0709,71
D0710,71
D0711,71
D0712,71
D0713,71
D0714,71
D0715,71
D0716,71
D0717,72
D0718,72
D0719,72
D0720,72
D0721,71
D0722,72
D0723,72
D0724,72
D0725,72
D0726,72
D0727,70
D0728,73
D0729,73
D0730,73
D0731,73
D0732,73
D0733,73
D0734,73
D0735,73
D0736,73
D0737,74
D0738,74
D0739,74
D0740,74
D0741,74
D0742,74
D0743,74
D0744,74
D0745,74
D0746,75
D0747,75
D0748,75
D0749,16
D0750,75
D0751,72
D0752,75
D0753,68
D0754,75
D0755,74
D0756,75
D0757,59
D0758,75
D0759,75
D0760,76
D0761,76
D0762,76
D0763,76
D0764,76
D0765,76
D0766,76
D0767,76
D0768,77
D0769,77
D0770,77
D0771,75
D0772,77
D0773,66
D0774,77
D0775,77
D0776,77
D0777,72
D0778,77
D0779,77
D0780,78
D0781,77
D0782,78
D0783,78
D0784,78
D0785,78
D0786,78
D0787,78
D0788,78
D0789,78
D0790,78
D0791,79
D0792,79
D0793,79
D0794,79
D0795,79
D0796,79
D0797,79
D0798,79
D0799,79
D0800,9
D0801,79
D0802,79
D0803,80
D0804,79
D0805,80
D0806,80
D0807,80
D0808,80
D0809,80
D0810,80
D0811,80
D0812,80
D0813,81
D0814,81
D0815,81
D0816,81
D0817,81
D0818,81
D0819,81
D0820,81
D0821,81
D0822,81
D0823,81
D0824,82
D0825,81
D0826,80
D0827,82
D0828,82
D0829,82
D0830,82
D0831,82
D0832,82
D0833,82
D0834,82
D0835,82
D0836,83
D0837,83
D0838,83
D0839,76
D0840,49
D0841,83
D0842,83
D0843,83
D0844,71
D0845,83
D0846,83
D0847,83
D0848,83
D0849,83
D0850,84
D0851,84
D0852,84
D0853,84
D0854,82
D0855,84
D0856,84
D0857,84
D0858,84
D0859,85
D0860,85
D0861,84
D0862,85
D0863,85
D0864,85
D0865,83
D0866,85
D0867,85
D0868,85
D0869,85
D0870,86
D0871,85
D0872,86
D0873,86
D0874,86
D0875,86
D0876,86
D0877,86
D0878,86
D0879,86
D0880,86
D0881,86
D0882,87
D0883,87
D0884,87
D0885,87
D0886,87
D0887,87
D0888,87
D0889,87
D0890,88
D0891,88
D0892,88
D0893,88
D0894,88
D0895,88
D0896,88
D0897,86
D0898,88
D0899,88
D0900,88
D0901,88
D0902,89
D0903,87
D0904,89
D0905,89
D0906,89
D0907,89
D0908,89
D0909,89
D0910,89
D0911,89
D0912,89
D0913,90
D0914,90
D0915,42
D0916,90
D0917,90
D0918,89
D0919,90
D0920,90
D0921,90
D0922,90
D0923,91
