symbol,longName,quoteType,currency,marketCap,Market_Cap,name
XPBRA.MC,Petróleo Brasileiro S.A. - Petrobras,EQUITY,EUR,"{'raw': 87037599744, 'fmt': '87.038B', 'longFmt': '87,037,599,744'}",88515816479,petróleo
AIR.MC,Airbus SE,EQUITY,EUR,"{'raw': 82607489024, 'fmt': '82.607B', 'longFmt': '82,607,489,024'}",84010466278,"airbus,se"
ITX.MC,"Industria de Diseño Textil, S.A.",EQUITY,EUR,"{'raw': 75359707136, 'fmt': '75.36B', 'longFmt': '75,359,707,136'}",76639590549,industria
IBE.MC,"Iberdrola, S.A.",EQUITY,EUR,"{'raw': 65013350400, 'fmt': '65.013B', 'longFmt': '65,013,350,400'}",66117514839,iberdrola
XVALO.MC,Vale S.A.,EQUITY,EUR,"{'raw': 60145508352, 'fmt': '60.146B', 'longFmt': '60,145,508,352'}",61166999032,"vale,sa"
XAMXL.MC,"América Móvil, S.A.B. de C.V.",EQUITY,EUR,"{'raw': 56447066112, 'fmt': '56.447B', 'longFmt': '56,447,066,112'}",57405743718,américa
SAN.MC,"Banco Santander, S.A.",EQUITY,EUR,"{'raw': 40869171200, 'fmt': '40.869B', 'longFmt': '40,869,171,200'}",41563279183,"banco,santander"
XBBDC.MC,Banco Bradesco S.A.,EQUITY,EUR,"{'raw': 31730458624, 'fmt': '31.73B', 'longFmt': '31,730,458,624'}",32269357847,bradesco
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",EQUITY,EUR,"{'raw': 29113634816, 'fmt': '29.114B', 'longFmt': '29,113,634,816'}",29608090802,argentaria
CLNX.MC,"Cellnex Telecom, S.A.",EQUITY,EUR,"{'raw': 29071579136, 'fmt': '29.072B', 'longFmt': '29,071,579,136'}",29565320862,cellnex
NTGY.MC,"Naturgy Energy Group, S.A.",EQUITY,EUR,"{'raw': 26844641280, 'fmt': '26.845B', 'longFmt': '26,844,641,280'}",27300561458,naturgy
AMS.MC,"Amadeus IT Group, S.A.",EQUITY,EUR,"{'raw': 25553922048, 'fmt': '25.554B', 'longFmt': '25,553,922,048'}",25987921093,"amadeus,it"
TEF.MC,"Telefónica, S.A.",EQUITY,EUR,"{'raw': 24469692416, 'fmt': '24.47B', 'longFmt': '24,469,692,416'}",24885277277,telefónica
CCEP.MC,Coca-Cola Europacific Partners PLC,EQUITY,EUR,"{'raw': 24369692672, 'fmt': '24.37B', 'longFmt': '24,369,692,672'}",24783579172,europacific
CABK.MC,"CaixaBank, S.A.",EQUITY,EUR,"{'raw': 23169992704, 'fmt': '23.17B', 'longFmt': '23,169,992,704'}",23563503911,caixabank
MTS.MC,ArcelorMittal S.A.,EQUITY,EUR,"{'raw': 20289269760, 'fmt': '20.289B', 'longFmt': '20,289,269,760'}",20633855757,arcelormittal
XELTO.MC,Centrais Elétricas Brasileiras S.A. - Eletrobrás,EQUITY,EUR,"{'raw': 19760136192, 'fmt': '19.76B', 'longFmt': '19,760,136,192'}",20095735566,centrais
FER.MC,"Ferrovial, S.A.",EQUITY,EUR,"{'raw': 19144009728, 'fmt': '19.144B', 'longFmt': '19,144,009,728'}",19469145021,ferrovial
ELE.MC,"Endesa, S.A.",EQUITY,EUR,"{'raw': 18737043456, 'fmt': '18.737B', 'longFmt': '18,737,043,456'}",19055266974,endesa
AENA.MC,"Aena S.M.E., S.A.",EQUITY,EUR,"{'raw': 18592499712, 'fmt': '18.592B', 'longFmt': '18,592,499,712'}",18908268348,aena
REP.MC,"Repsol, S.A.",EQUITY,EUR,"{'raw': 16683909120, 'fmt': '16.684B', 'longFmt': '16,683,909,120'}",16967262908,repsol
XNOR.MC,"Grupo Financiero Banorte, S.A.B. de C.V.",EQUITY,EUR,"{'raw': 15859030016, 'fmt': '15.859B', 'longFmt': '15,859,030,016'}",16128374341,grupo
ANE.MC,"Corporación Acciona Energías Renovables, S.A.",EQUITY,EUR,"{'raw': 14376004608, 'fmt': '14.376B', 'longFmt': '14,376,004,608'}",14620161738,corporación
SGRE.MC,"Siemens Gamesa Renewable Energy, S.A.",EQUITY,EUR,"{'raw': 12200347648, 'fmt': '12.2B', 'longFmt': '12,200,347,648'}",12407554167,gamesa
ANA.MC,"Acciona, S.A.",EQUITY,EUR,"{'raw': 10702422016, 'fmt': '10.702B', 'longFmt': '10,702,422,016'}",10884188279,acciona
RED.MC,"Red Eléctrica Corporación, S.A.",EQUITY,EUR,"{'raw': 10230084608, 'fmt': '10.23B', 'longFmt': '10,230,084,608'}",10403828855,eléctrica
GRF.MC,"Grifols, S.A.",EQUITY,EUR,"{'raw': 7839730176, 'fmt': '7.84B', 'longFmt': '7,839,730,176'}",7972877463,grifols
IAG.MC,International Consolidated Airlines Group S.A.,EQUITY,EUR,"{'raw': 7093051392, 'fmt': '7.093B', 'longFmt': '7,093,051,392'}",7213517343,"international,consolidated"
XGGB.MC,Gerdau S.A.,EQUITY,EUR,"{'raw': 7327836160, 'fmt': '7.328B', 'longFmt': '7,327,836,160'}",7452289615,gerdau
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",EQUITY,EUR,"{'raw': 6087073280, 'fmt': '6.087B', 'longFmt': '6,087,073,280'}",6190454044,actividades
XBRK.MC,Braskem S.A.,EQUITY,EUR,"{'raw': 5670727680, 'fmt': '5.671B', 'longFmt': '5,670,727,680'}",5767037373,braskem
XCMIG.MC,Companhia Energética de Minas Gerais,EQUITY,EUR,"{'raw': 5432007168, 'fmt': '5.432B', 'longFmt': '5,432,007,168'}",5524262514,companhia
MAP.MC,"Mapfre, S.A.",EQUITY,EUR,"{'raw': 4896484352, 'fmt': '4.896B', 'longFmt': '4,896,484,352'}",4979644562,mapfre
MRL.MC,"MERLIN Properties SOCIMI, S.A.",EQUITY,EUR,"{'raw': 4888268800, 'fmt': '4.888B', 'longFmt': '4,888,268,800'}",4971289480,socimi
ENG.MC,"Enagás, S.A.",EQUITY,EUR,"{'raw': 4850366464, 'fmt': '4.85B', 'longFmt': '4,850,366,464'}",4932743424,enagás
BKT.MC,"Bankinter, S.A.",EQUITY,EUR,"{'raw': 4455447552, 'fmt': '4.455B', 'longFmt': '4,455,447,552'}",4531117344,bankinter
FCC.MC,"Fomento de Construcciones y Contratas, S.A.",EQUITY,EUR,"{'raw': 4006239744, 'fmt': '4.006B', 'longFmt': '4,006,239,744'}",4074280345,construcciones
SAB.MC,"Banco de Sabadell, S.A.",EQUITY,EUR,"{'raw': 3562954752, 'fmt': '3.563B', 'longFmt': '3,562,954,752'}",3623466753,"banco,de"
FDR.MC,"Fluidra, S.A.",EQUITY,EUR,"{'raw': 3454651392, 'fmt': '3.455B', 'longFmt': '3,454,651,392'}",3513324006,fluidra
CIE.MC,"CIE Automotive, S.A.",EQUITY,EUR,"{'raw': 3117290496, 'fmt': '3.117B', 'longFmt': '3,117,290,496'}",3170233488,"cie,automotive"
COL.MC,"Inmobiliaria Colonial, SOCIMI, S.A.",EQUITY,EUR,"{'raw': 3470094336, 'fmt': '3.47B', 'longFmt': '3,470,094,336'}",3529029227,inmobiliaria
ROVI.MC,"Laboratorios Farmaceuticos Rovi, S.A.",EQUITY,EUR,"{'raw': 2690127616, 'fmt': '2.69B', 'longFmt': '2,690,127,616'}",2735815820,laboratorios
LOG.MC,"Compañía de Distribución Integral Logista Holdings, S.A.",EQUITY,EUR,"{'raw': 2650667520, 'fmt': '2.651B', 'longFmt': '2,650,667,520'}",2695685547,compañía
VIS.MC,"Viscofan, S.A.",EQUITY,EUR,"{'raw': 2632560896, 'fmt': '2.633B', 'longFmt': '2,632,560,896'}",2677271407,viscofan
SLR.MC,"Solaria Energía y Medio Ambiente, S.A.",EQUITY,EUR,"{'raw': 2607727360, 'fmt': '2.608B', 'longFmt': '2,607,727,360'}",2652016106,energía
EBRO.MC,"Ebro Foods, S.A.",EQUITY,EUR,"{'raw': 2477226496, 'fmt': '2.477B', 'longFmt': '2,477,226,496'}",2519298860,"ebro,foods"
ACX.MC,"Acerinox, S.A.",EQUITY,EUR,"{'raw': 2364299776, 'fmt': '2.364B', 'longFmt': '2,364,299,776'}",2404454232,acerinox
APAM.MC,Aperam S.A.,EQUITY,EUR,"{'raw': 2291982848, 'fmt': '2.292B', 'longFmt': '2,291,982,848'}",2330909098,aperam
UNI.MC,"Unicaja Banco, S.A.",EQUITY,EUR,"{'raw': 2282080512, 'fmt': '2.282B', 'longFmt': '2,282,080,512'}",2320838584,unicaja
GEST.MC,"Gestamp Automoción, S.A.",EQUITY,EUR,"{'raw': 2124150528, 'fmt': '2.124B', 'longFmt': '2,124,150,528'}",2160226371,gestamp
VID.MC,"Vidrala, S.A.",EQUITY,EUR,"{'raw': 1880692096, 'fmt': '1.881B', 'longFmt': '1,880,692,096'}",1912633125,vidrala
XUSI.MC,Usinas Siderúrgicas de Minas Gerais S.A.,EQUITY,EUR,"{'raw': 1878224128, 'fmt': '1.878B', 'longFmt': '1,878,224,128'}",1910123242,usinas
ALM.MC,"Almirall, S.A.",EQUITY,EUR,"{'raw': 1754447488, 'fmt': '1.754B', 'longFmt': '1,754,447,488'}",1784244422,almirall
XBRPO.MC,Bradespar S.A.,EQUITY,EUR,"{'raw': 1653475200, 'fmt': '1.653B', 'longFmt': '1,653,475,200'}",1681557255,bradespar
IDR.MC,"Indra Sistemas, S.A.",EQUITY,EUR,"{'raw': 1555088512, 'fmt': '1.555B', 'longFmt': '1,555,088,512'}",1581499601,sistemas
NHH.MC,"NH Hotel Group, S.A.",EQUITY,EUR,"{'raw': 1513855872, 'fmt': '1.514B', 'longFmt': '1,513,855,872'}",1539566680,"nh,hotel"
SCYR.MC,"Sacyr, S.A.",EQUITY,EUR,"{'raw': 1420835712, 'fmt': '1.421B', 'longFmt': '1,420,835,712'}",1444966698,sacyr
MEL.MC,"Meliá Hotels International, S.A.",EQUITY,EUR,"{'raw': 1355773696, 'fmt': '1.356B', 'longFmt': '1,355,773,696'}",1378799691,meliá
FAE.MC,"Faes Farma, S.A.",EQUITY,EUR,"{'raw': 1201034240, 'fmt': '1.201B', 'longFmt': '1,201,034,240'}",1221432193,faes
LDA.MC,"Línea Directa Aseguradora, S.A.",EQUITY,EUR,"{'raw': 1182242944, 'fmt': '1.182B', 'longFmt': '1,182,242,944'}",1202321752,línea
PHM.MC,"Pharma Mar, S.A.",EQUITY,EUR,"{'raw': 1092750848, 'fmt': '1.093B', 'longFmt': '1,092,750,848'}",1111309753,pharma
CASH.MC,"Prosegur Cash, S.A.",EQUITY,EUR,"{'raw': 1057274240, 'fmt': '1.057B', 'longFmt': '1,057,274,240'}",1075230622,prosegur
TL5.MC,"Mediaset España Comunicación, S.A.",EQUITY,EUR,"{'raw': 1032821568, 'fmt': '1.033B', 'longFmt': '1,032,821,568'}",1050362655,mediaset
MVC.MC,Metrovacesa S.A.,EQUITY,EUR,"{'raw': 1031360896, 'fmt': '1.031B', 'longFmt': '1,031,360,896'}",1048877175,metrovacesa
GRE.MC,"Grenergy Renovables, S.A.",EQUITY,EUR,"{'raw': 1022755392, 'fmt': '1.023B', 'longFmt': '1,022,755,392'}",1040125518,grenergy
ENO.MC,"Elecnor, S.A.",EQUITY,EUR,"{'raw': 990703360, 'fmt': '990.703M', 'longFmt': '990,703,360'}",1007529125,elecnor
